,reviews
1043,"I haven't upgraded my computer for more than a decade, so it would stand to reason any recent releases would impress me, but this macbook pro has gone above and beyond in the small time I've had it.The screen is truly something to behold. Smooth, clear, just beautiful. I don't typically care about bezels, but I might start. The expanded screen makes an unexpected difference. Meanwhile, I barely notice the notch. Apple said they'd find workarounds to make it scarce, and they have.The speakers are wonderful as well. I was skeptical at first -- thought I caught some tinny effects on a couple songs, but the more I listen to them, the more I'm convinced the tinniness was in the recording (it was a live album, which might explain it). As for the spatial audio, I've only heard a couple songs, but it's pretty trippy. This is my first experience with it, and it doesn't disappoint.In the short time I've had the computer, it's been nothing but fast. Probably more computer than I need, so if you're a sound editor or photographer, this review probably isn't for you. But for those of you casual users who want a solid machine that will last (as I said, my last macbook pro made it more than a decade), this is the one. Excited as I was for my last macbook, I could see room for improvement at the time. Right now, I don't see how things get better than this."
1044,"M1 pro chip is super powerful - photo/video editing, graphic design - this thing just kills it. Compared to previous MacBook Pro, it's a giant leap ahead. These tasks are a main reason to buy the pro version of the Macbook. This particularly model is the lower end of the spec you can get for a pro,  but it still kicks butt. You can get the Pro Max chip and bump up the RAM to 64GB if you want - and add tons more storage. The 14 inch MacBook pro is the perfect size for a balance of portability and power. It can do pretty much everything the 16 inch version does. The display is stunning. Just gorgeous. 120hz capability (pro motion) gets rid of blur when scrolling and makes for clearer action when viewing movies. The brightness and black levels on the display are awesome. Real HDR viewing -  a big difference. You will hear about ""the notch"" at the top of the screen where the camera is. After 10 minutes I don't even notice it. It means nothing for your experience. Its just something critics have chosen to harp about. in most apps the notch is no even visible. Camera is now a full 1080p and is a big upgrade over previous MacBooks. Six speaker sound system with new woofers - sounds incredible. Music/movies it feels like surround sound. For video conferencing the microphones are studio quality and you can tell - this is great for video conferencing. The keyboard is a dream to type on. Very solid like all MacBooks, no spongy feel you get with so many other laptops. The Apple Magic Keyboard is the best - as is the track pad. Battery life is amazing. I have gone all day on battery without needing to plug in. At best its spec says 17 hours, which is crazy! Especially for this spec...but for real world use with a mix of tasks, it won't be 17 hours but I did a 9 hour session yesterday, and still had a ton of battery left. The power efficiency is ground breaking. They have added back the MagSafe power plug - which is great! And added back an SD card slot and and an HDMI port - which many of us hated the previous macs that deleted these ports. I wish it had at least one USB-A old style port - but it doesn't. You get three USB-C thunderbolt 4 ports that you can use with adapters if needed. They got rid of the touch screen bar at the top of the keyboard from previous pro MacBooks and put back the regular mechanical keys for the controls. Apparently they listened to a lot of users who didn't really like the touch pad. The shape and style of this laptop is great. Some say the edge of the laptop looks ""sharp"" where your wrists rest. That is BS. I have been typing most of the day and I don't feel any issue with the edge of the laptop at all. Very comfy for typing. Some haters may try to find reasons to bash this new Macbook Pro, but I am telling you - from any perspective, all brand bias aside -  this is an amazing laptop - the best Apple has ever made, hands down. And I would say you won't find a better power laptop anywhere.  All that said - this is not a gamers machine. Apple is not for hard core gamers. I mean you can play games on it that you get from the app store. I am a hard core gamer and a PC geek  - I have a powerful windows PC for gaming. And always will. But for everything else. this MacBook is king. I use to for music, for photo and video editing, for productivity. I can plut into a giant monitor if I want a bigger screen - it works great on my 34 inch IPS panel. So if you are wondering if this Macbook 14 inch pro is the real deal or not - I am here to tell you, its the real deal. I finally upgraded from my 2015 MacBook pro because this new one hits so many sweet spots - revolutionary power and battery life, excellent ergonomic design, great sound, stunning display - its the whole package. If you are thinking of getting one - you won't be disappointed. One last comment. I am an old timer windows guy, and I know all the counter arguments for the Mac. Many wills say this is overpriced compared to a windows laptop with similar spec. First, show me an intel based laptop that can match these new M1 Pro chips - you can't. And aside from that, the Mac OS is secure and stable - rock solid - and is intuitive with amazing features - like the ability to copy and paste text FROM A PHOTO! Whaaat? And the design/ergonomics/quality of these MacBooks is unmatched. So, yes you pay more - but you get more. My last MacBook pro lasted me almost 7 years and it still works great. If you want this laptop - get it! It rocks."
1045,"I have a Mabook Pro covered by Apple care. The computer needs a new battery. To make a long story short Apple left me for months with a computer, again under warranty, which I can use for a couple of hours for simple tasks like web browsing before it needs to be recharged. Apple refused to replace the battery because the diagnostic read 81% not below 80 % as per policy. In all this Apple didn’t have any problems asking me to invest countless hours of my time between doing clean installs trips to apple stores etc.. I feel a more respectful way to treat me as a loyal customer could have been let us replace the battery first and if that doesn’t fix the issue which I seriously doubt ask me to do troubleshooting. All this to save something that would probably cost you few $$. Seriously ?"
1046,sent me base model
1047,"I probably got a faulty laptop but the charger status doesn’t show it’s charging when plugged in, only thing indicating that it’s charging is the orange light. My chrome windows keeps crashing whenever I put the computer to sleep and the external video display rarely connects"
1048,"I never write reviews, but feel compelled to write one for this Macbook Pro. I've owned macs consistently since 1990s and have dealt with eye strain on the air and now on this laptop. It gave me horrible headaches and eye strain even with a matte protector. I returned it and am now looking at PCs for the first time because if I can't read from the screen without it making me sick, I can't use it."
1049,"The media could not be loaded.
                




   My first MacBook ever! I had been saving up for it before the official drop— & I was not disappointed! Love the Touch ID feature, and it’s so efficient! Can’t wait to use it when I go back to school!"
1050,"This laptop has a superior display, superior speakers, superior camera and an excellent keyboard. Don't go cheap and buy the ""affordable"" MacBook Air base model like some of these talking heads have been advising. It's not a good buy if you are unhappy with it after six months, and believe me, you will be unhappy with 8 GB of RAM and two USB ports after six months. M1 MacBooks are not upgradeable so if you find that you need more RAM, you are stuck. Unless all you are doing sending emails, tweets, and watching TicTok, you will probably need something more, especially if you are using your laptop for work. I'm using my MacBook Pro with an LG UltraFine 5K 27 inch display as my desktop system, which replaces a 27 inch iMac. I'm very happy."
1051,"The media could not be loaded.
                




   Sheeeese! What can I say? Apple has done it again 🤪😍 magnificent piece of device I must say."
1052,"I pulled the trigger on this thing hoping that the bad reviews were wrong.. some of the comments saying it came dirty and defective definitely gave me pause however, what arrived today was practically a brand new macbook. the device does not show any signs of wear and the battery cycle count is 18, it came with the original power brick and while the cable was used, it was not worn or dirty in any way. While i've only just started using the device about an hour ago, I can tell you that it's speedy and works flawlessly... had I not known it was a refurb when buying it, I would have easily confused it for a brand new mbp.. for those asking, this is a 2017 macbook pro and the specs as quoted are accurate. i'll play around with this thing for a little while and update this review as needed, but so far this looks like a winner!***update***A few months in and it’s still working flawlessly. I don’t regret my purchase for one second, and neither should you!"
1053,This is not a 256GB MacBook Pro- they are falsely advertising it as such and then shipping buyers 128GB versions.
1054,"Came in used and dirty, and it was not even turn off, I'm gonna return it. So disappointed."
1055,"Wow. I cant say enough how happy I am with this laptop! I it arrived early, and for a refurbished computer I swear it doesn't have a scratch, dent, smudge or single flaw anywhere on it! Its fast, the battery is great, its working perfectly! I couldn't be happier with this thing!"
1056,"Was excited to receive it and on the outside it had one noticable chip in the case on the cover side (which had a sharp edge to it), but thought that isn't too bad.  But when opening it up the screen in both the top left and top right were broken/chipped/cracked like it had been dropped and they replaced the cover, but not the screen.  This was not acceptable.  Wanted to try it out and ended up learning that some of the keys did not work right (sticky, pushed strange and such), plus the touchpad/mouse was really strange and didn't seem to work correctly.  Too many issues out of the box for me and too concerned that there might be other issues from where it looked to have been dropped and such.  Sending it back and just started that process.  So far the return seems ok....but just hate that the product does not match the description...using their words ""Renewed products work and look like new""."
1057,"I ordered the space gray with 256 gb of ram and received a silver with 128gb.  I knew this could happen as the picture did not match the description and I had seen other similar reviews.The good news is it was on time and in flawless condition.  I think I will stick with it and not press my luck, as it is still a fair price and a great machine, but beware."
1058,"I have to admit, I don't typically write reviews and I was a little hesistant about the product due to some 1 to two star reviews. The space gray model not only is at a great price, it came to me brand new. With all the specs I was expecting, i5 8GB RAM 256GB SSD, and works like a dream. Battery life is great, setting up was easy, and all my Apple Products (iPhone, Apple watch, Earpods) synced with no issues. I'm not sure as to why there were so many negative reviews, but mine is not one of them. SO HAPPY!! I truly recommend."
1059,the battery is dead
1060,"This product arrived quickly and looked great.  There have been multiple glitches with the power switch and with the screen ever since it's arrival.  Most of the time the power button would require multiple attempts to push before the computer would power up.  When the computer woke from sleep state (opening lid after its been closed for at least fifteen minutes) the screen would be black and then all pixelated.  Most recently, the computer wouldn't even turn on, when it finally did, it was all reset and all the settings were reset.  I lost everything I had put on the computer over the past day.  The seller still hasn't gotten back to me after email and I left a voice message.  I have now initiated a return as I want my money back.  It would have been nice if they had gotten back to me ASAP when I emailed or when I called (during normal hours of operation, by the way) and it went to voicemail.  The fact that they didn't and the computer kept coming up with other issues.  I now will buy a new one.  The value is not there with the aggravation generated."
1061,"Multiple reviews mentioned getting devices with used batteries, screen issues, etc.My laptop arrived through FedEx Express with questionable packaging. But everything was intact and fine. The laptop still had the plastic wrapped around it as MacBooks directly from Apple do, even with the screen cover. Only 3 battery cycles out of the box, with a new charger in the box. I am very satisfied with the purchase although in the Q&A section of this product someone mentions that this is a 2018 model, its not, its a 2017 (At least the one I received.) which for me isn't really a big deal since it arrived in exceptional condition. Highly recommend this MacBook."
1062,I'm a fan of apple products and I like almost everything about this new MBA. But it has one huge flaw that nobody talks about. It's the camera hardware and it hasn't been updated in ages. My zoom calls are so grainy and bad even with decent light. A $1000 laptop with 10 year old front camera is unacceptable. Camera is very important to me. Especially now that we all are quarantined at home and making zoom calls all the time.
1063,"Liked:- Long battery life (one charge WILL last all day, i.e. 16 hours. Personally tested true)- Speed (the new M1 processor really is fast)- Quiet (no fan but the laptop still does not get hot)- Light and portable- High resolution & bright displayDisliked:- As with other MacBooks, the keyboard is mediocre especially compared to laptops like Lenovo Thinkpad- Incompatible applications (With the M1 processor still being new, you might experience existing programs frequently crash. For example, Chrome keeps crashing) But I would guess there will be a fix soon"
1064,"UPDATE 12-15-2020 - After three weeks, I'm still really impressed with the M1 MacBook Air/8 Core CPU/8 Core GPU/512 SSD/8GB RAM. --- My updated plea: MAKE SURE YOU GET AS MUCH MEMORY & STORAGE AS YOU CAN AFFORD. SPECIAL ORDER ONE TO YOUR PROJECTED FUTURE NEED!Remember, Macs live a very long time and the value it holds will depend on how usable it will be to you or someone else in 5 or even 10 years. Not that long ago, 80 GB hard drives were HUGE... and UPGRADABLE. RAM was upgradable. The SSD and the RAM in these machines is NOT upgradable.The one issue for me has been that I am a memory hog! I tend to have LOTS of tabs open at once (I've caught myself with 50 (Safari) open in one browser and 39 (Chrome) in another!), while running Affinity/Final Cut Pro - and YES, the dreaded Beach Ball has reared it's ugly head. Well, this got me to assess what I will be using the machine for and for how long.Storage can be added with external drives, slower, but it will let you scrape by. RAM is another story. When you constantly use up RAM, the system starts using ""swap memory"" where it uses the SSD to store temporary files. One of the YouTube reviewers (Created Labs) explains it like this: RAM memory is like writing on a white board, it's made to be temporary. Writing to the SSD is like writing on paper with a pencil. It can be erased, but if it's written on and erased for too long, it's going to degrade the medium. It will take years for this to cause problems, but keep in mind that in these M1 MacBooks, none of the parts are replaceable. The SSD and the RAM are soldered onto the board.***As ridiculously expensive as Apple RAM is, when it's not upgradable, get the maximum, in this case, 16 GB.I really doubt that Apple will be making machines with user upgradable RAM after the switch from Intel is complete, except for possibly the very high end Pro models.There is also the fact that if I am going to be doing a decent amount of video editing, a M1 with a fan will be helpful. Upgrading to the cheaper ($699+Upgrades) M1 Mac mini would be the cheapest way to get better performance for the Pro Apps, but I need a laptop, so... So, that is why I'm planning to return this machine and get one (likely the MacBook Pro M1), with 16 GB RAM & 1 TB SSD.***A note on browsers, Safari is by far the BEST browser to run on the M1, at least for now. I always had issues with saving web pages as PDF files in Chrome, where it did not save most of the images/text on the page. In Safari, it's worked perfectly.------I purchased the MacBook Air M1, 8 core GPU, and 8 core CPU model, with 512 GB SSD and 8 GB RAM in person at the Apple Store (11-20-2020), with education pricing. I traded in my (MNYH2LL/A) - 2017 12"" Macbook with the Intel M3 processor, 256 GB SSD, 8 GB Ram. I kept my charging adapter & C-cable (which are both compatible with the M1 Late 2020 Macbook Air), so ended up with a $330 Apple Store instant credit towards the M1.The M1 model has blown me away with its speed and smooth running with a large number of apps open, including Final Cut & Logic Pro. Admittedly the 2017 MB was the bottom of the line and I suffered under frequent overheating issues with too many things open and the single C-port fiasco.I likely would have gone with the 7 core GPU model if one had been in stock at the time of purchase, but I wanted 512 GB of SSD space, so I paid more by going with eh 8 core. From everything that I've seen, the lack of more RAM upgrades is not nearly as important as it was with the Intel x86 processors and is really only useful when you have many GPU intensive ""Pro Apps"" running at the same time.I would never have dreamed of running Final Cut or Logic Pro on the 2017 Macbook, so this has been an amazing upgrade for me.I would say that the bottom line is that if you're someone who only uses a laptop for office & basic web surfing and only has a few tabs open at once, and you never experience overheating or the dreaded beach ball ""not responding"" issues, or if you have non-Apple programs that have not been compiled for the M1 chip, hold off on the upgrade until more apps run natively on the M1. If however, you really need a machine that is MUCH more capable, faster and cooler running than the Intel models, it's a solid buy and an amazing upgrade from any non-upgradable Mac."
1065,"The M1 chip really is amazing. But it only lasted five days for me. Somehow mine managed to break after using a third party USB C hub. The screen wouldn’t turn on at all, and an Apple repair tech couldn’t figure it out after doing a few quick tests. Oh and then Apple said it would take a month to replace it with a new one."
1066,"Beautiful laptop. I’ve upgraded from the MacBook Air of old...so far this laptop has blown it away. It wasn’t overly pricey to be honest and I feel it’s worth the price. Overall look is great and keyboard feel is nice. Larger touchpad is great, I’ve paired my Magic Trackpad 2 with it as well."
1067,"I have two MacBook Airs (MBA), a 13"" and a 11, both with the previous form factor (the wide, body colored bezel around the screen, 1280x800 resolution) and this new 13"" MBA improves upon it in every way (almost) and makes it nearly perfect.Good:- SCREEN looks great!  2560x1600 resolution is bright and sharp and looks good with the thin black bezel.  I usually don't go above 50% brightness.- KEYBOARD is good.  Some have mentioned that it still sucks, but I find it much better than the older MBAs that I own and better than say, the Magic Keyboard.  Even with a thin silicone keyboard cover I find the typing experience to be much better and I can type faster and with fewer mistakes.- BATTERY LIFE is fantastic.  Haven't done any real testing yet and obviously it depends on a lot of factors (wifi usage, video streaming, HD vs 4k video viewing/processing/etc., screen brightness, type of app being used, etc.) but for my usage (mostly web browsing, video viewing on YouTube, accessing VPN for work (Citrix, EPIC), etc., it has been great.  Easily tops 10 hours and super impressed so far.- LOOKS GREAT.  Love the newer (I know that the actual exterior design is a few years old by now) design, looks and feels great.  Form factor is nice and it is a reasonable weight.- NO FAN.  That's awesome, as it not only stays quiet all the time but you also do not need to worry about blocking any fan vents on the bottom or back of the case while you have it on your lap.  Pretty amazing really for a laptop to have no fans.- PERFORMANCE.  It works great so far on what I have used it for, which is not terribly a lot, but it is what it is for a laptop using Apple silicon for the first time.  For just day to day use and things like Chrome, Office (Word, Excel), Citirx, EPIC, etc., it has been super smooth and fast.  Have not tried gaming yet but do not have high hopes given it is the base model with 7-core GPU.  Also, things like start up are noticeably faster with the M1 versus my 2020 iMac 27"" (top end) with Intel chips.- TOUCH ID is great still.  Works very fast and the button does not get greasy (which makes it not work well) like the old iPhone home buttons.  On the other hand, it should really have Face ID at this point.- APPLE ECOSYSTEM is great as usual and a real reason to get this MBA.  Apple Watch easily unlocks it (so you do not really need Face ID if you have the watch).  You can easily send/receive files using AirDrop or cast using AirPlay.  And so on and so forth.- BIG SUR comes preinstalled but you need to update to get 11.0.1.NOT GOOD:- WEBCAM still sucks.  Still low resolution and just does not look good in FaceTime, Teams, etc.  Shame that Apple is so slow to upgrade webcams on the Macs (the 27"" iMac FINALLY upgraded to 1080p front cams only a couple months ago... I got one and it looks so much better than this MBA's camera).- ONLY 2 PORTS.  Sad that this thing has only 2 USB-C ports (that cover thunderbolt 3, USB 3.1, charging, DisplayPort).  Given that it is used to charge, it leaves only one USB-C port for other use, pretty lame.  I wish they had squeezed (I think it would fit) a USB-A port so that I could plug in my wireless mouse USB-A dongle as I have never liked any bluetooth mouse, or at least one more USB-C port.- NEW TECH (Apple silicon) means the M1-optimized apps are still being rolled out, e.g. Photoshop still not available at release.- BATTERY still cannot be removed, no surprise here, but means that like all Apple mobile tech it will have a useable lifespan determined at least partly by the non-removable battery.  Easier to have an iPhone's battery replaced than a MBA I would imagine but hopefully it maintains a high level of performance for 4 years at the minimum.OVERALL:A few negatives (mostly the webcam) but enough significant improvements that this MBA is really a no-brainer for anyone needing a non-power notebook compute, especially if s/he is already in the Apple ecosystem.  Love it so far!"
1068,No complains so far.  Very fast and performs great.  I had a 2014 MacBook Air and finally upgraded this year.  This is leagues beyond that entry and I’m very happy with this upgrade.
1069,"Lightweight, blazing fast, easy to use, battery life is incredible with the new Apple M1 chip.  A typical Great Apple product.However, there is only a Thunderbolt port, so you now have to go out and buy a cable to convert USB to thunderbolt (if you want to use a backup hard drive) or other USB items, AND, I had to buy yet another cable to sync my phone's lightning port to the thunderbolt port on the computer. Total $56.I LOVE Apple product, and worked for them in my caerer, but I would wait on buying this version until the software for it has been developed.UPDATE: After several months of using this computer, I have have found several things of concern:1.  my notification center keeps disappearing, despite my constant reinstalling the widgets.2.  my computer's calendar, reminders, and photo stream do not sync with my IOS devices (iPhone & iPad).  If I add an item to calendar on my phone, it will appear on my mac but not vice versa.  Reminders will not sync regardless of which device I originate the item on.I have contacted Apple support on all these issues and they cannot solve the problem.IT APPEARS THAT THE BUGS HAVE NOT BEEN WORKED OUT, YET.  THINGS ARE MADDENINGLY CLUNKY!"
1070,"The media could not be loaded.
                




   Bought this laptop bc i needed it for spring semester and i needed an upgrade from my heavy macbook pro. I go to work too so i needed something super light and thin i can just bring everywhere and slide it in my bag.I am obsessed with how fast this macbook is. The battery life is on point. I used it for movies and series at work and it lasted for 3 days. The processor is definitely sooo good. I open so many tabs at once and it has not lagged on me. The keyboard and trackpad is responsive.I love the color. The main reason why i bought this too. 😍😂I have no problems with it at all.Highly recommend"
1071,Opened my brand new $1000++ computer and the entire screen was cracked and destroyed. Awesome! Thanks Amazon.
1072,"Delivered to me within 12 hours of purchase... Sealed in original apple packaging with protective film, blemish free, not a scratch.. Mint.its powerful, Ive already loaded some big task audio software and broadcast software on it and its flying through the multiple processes together at ease... (Logic 10.5 / Traktor DJ 3.0 / OBS)Super light and portable, If this is a MacBook Pro then I can't even imagine how light the Air models are. Nor could I even imagine why you may need something more powerful. I am having to adjust to the new keyboard and Touch Bar, I keep hitting Siri and volume settings, even as I type this.id also recommend getting a keyboard cover as well.... I hear these keyboards go out sometimes and to repair it. This is no fault to the reseller, but I can't believe Apple with their price points don't offer a bigger SSD for the lowest price point.... 128gb is laughable so be prepared to buy an external SSD along with a Thunderbolt 3 / USB-C Hub to run hdmi, and various external accessories.Overall I love this computer so far, it was a nail biter as I rarely ever shell out $1,000 on anything but I'm very pleased and satisfied with my purchase. And I still cannot find a better deal on the internet, not even used on Facebook marketplace, letgo or craigslist....Five stars"
1073,So not worth it. All they want to do is take your money do NOT BUY THIS ONE! Its used and if you search apple on amazon they have brand new with higher stats for cheaper.
1074,"Just received this, but so far so good. It looks BRAND NEW. There are literally NO signs of cosmetic wear or damage. It arrived in a sealed apple box. I’m finishing setting up and I already love it. For just under $1,200 for a 2019 model, this is a GREAT deal!"
1075,"I really love my MacBook. I really love this laptop. I'm a huge MacBook fan and this works like new. So far I don't have a problem with the butterfly keyboard, but I heard bad reviews about the keyboard from watching YouTube videos. I think that they may have fixed the keyboard problem when they refurbished the product??? I'm not sure, but honestly this a really great laptop for a really great price. I do wish that it came in the original Apple box and packaging, but it wasn't far from the really deal."
1076,"It looks and feels brand spanking new! Definitely happy with my purchase considering that I bought a brand new 2020 MacBook Air and hated it. Returned it back in 2 days. I paid a lot less for the Pro than the Air and its A LOT better with so many features. I’m not trying to persuade anyone out of getting the Air but if you are considering on buying a MacBook my advice would be to just go ahead and get the pro. The Air reminds me of a google chrome book slapped with an Apple logo on it. Not saying that google chrome books are bad, but there’s no need to pay a full band for the Air when you could find something similar and a lot cheaper. All in all I really love this laptop."
1077,"Bought this laptop with some apprehensions, as i have typically bought refurbished goods from apple directly. This was my first from amazon, and i was not disappointed. The notebook was flawless, not a single scratch on it. second, all the accessories where flawless as well, not signs of usage. When i powered on the notebook to verify usage, the battery had cycled only 3 times, meaning it was still in new condition. Very highly recommended seller. Thanks for a pleasant transaction."
1078,"This laptop looked new, straight from Apple store."
1079,"The media could not be loaded.
                




   The screen arrived damaged, what a scam.!"
1080,"Although I was very skeptical about purchasing a ""refurbished"" MacPro, after reading the reviews for this company, I made the purchase.  The MacPro arrived earlier than expected, expertly wrapped, included Apple certified, and in NEW condition.  There is no way I could tell it was not new or refurbished.  The price was the best I could find after researching other sellers.  I would highly recommend iPower Resale Inc to anyone looking for a MacPro.  Their customer service is exceptional.  Thank you for a great product!  5*****"
1081,"When I looked at this product it only had one review and it was a bad one... I then checked all the other products the seller sold and the reviews were excellent, needless to say I took a chance and ordered this MacBook Pro 2019. It arrived before anticipated and it was securely package. I AM SO GLAD I took a chance on them because this MacBook is amazing! Now I’ve waited a couple months before reviewing it to make sure it works. The MacBook looks brand new, it didn’t have any dents or scratches. It works and performs like a new MacBook. I had to contact the seller over the a small issue with the charger and they went above and beyond to correct the issue.Excellent customer service excellent product. I recommend this seller to anyone!"
1082,"I got my new MacBook Pro M1 two weeks ago and could not be more happy with it. This machine is absolutely incredible in terms of speed, looks, weight/size, display, and battery life - and texture (it feels so good against the skin on my wrists as I type) and basically anything else you can think of. I also love the space gray color, the new keyboard, the Touch Bar, and the larger trackpad. There are so many options to customize the system to work just the way I like.My previous MacBook was the 2011 model and it still works today, but after 10 years it became too slow and the trackpad had trouble clicking, so after a TON of research, I decided to pull the trigger and get the New MacBook Pro with the M1 chip.A couple suggestions I am able to give after spending almost two months and probably over 30 hours researching the new MacBook are: go with the standard model of 8gb of RAM and the 256 ssd - you can get this on Amazon for $1239 vs $1299 at Apple - so you get to save 60 bucks, and you have the added satisfaction of not having to deal with the snobby nerd losers that work in the Apple Store, who asked me rudely when I went in to get a new laptop ""umm, do you have an appointment? Well, you're going to have to make an appointment if you want to go in the store"". I love Apple products and will never use another phone or computer besides the iPhone and MacBook, but after that experience I will never again give my business to the physical Apple Stores. I mean, seriously, do you really need me to make an appointment to buy a $1300 laptop? Whatever dude.Anyway, in several YouTube videos that compared the 8GB ram model along side the 16GB ram model (costs 200 bucks more), the 8GB performed just as well in nearly every task - and they really pushed it to the limits. The only reason to pay up for the 16GB RAM is if you want to edit 8K UHD videos or are a super serious music recording artist or highly advanced professional photographer - and even then it's not too much of a difference. For the every day user (me or basically anyone who is not a computer professional) the 8GB working with this new M1 chip is mind-blowing, blows any other laptop on the market completely out of the water, and actually even performs just as well as the $2200 15 inch MacBook Pro using the Intel chip. As far as the storage goes, 256 ssd is standard - that's what I got - and you can pay 200 bucks more for 512 ssd or 400 bucks more for 1 TB. But with the Cloud storage available now, you don't really need to keep much on the laptop drive, you can just save it to the cloud.Overall I honestly could go on for hours about every little detail that I absolutely love about this machine. A free one year subscription to Apple TV is also another little perk. But I am still mystified every day at how incredible this machine is. I've been online for over 3 hours now and its still on 92% battery. The new Retina display is brilliant. Everything is perfect. I truly am in love this laptop and would recommend that anyone looking for a new laptop to last a long time and outperform everything else on the market gets the new matchbook 13 inch M1."
1083,I bought my Mac from Apple directly not from Amazon. This thing is amazing. Battery life is awesome. Hard to believe that I can work with it all day and do not have to charge at all even with bright screen.No issues with speed at all. I use Matlab a lot and this computer is even slightly faster than my desktop with 12 core AMD CPU and 32 GB ram.Excellent machine. Happy I bought it.
1084,"I own over 50 computers and it blows away my 11th gen Dell XPS 13 i7, My surface Book 3, my Ryzen 7 Thinkpad. the first week I got it the battery lasted for 5 days and 22 hrs of use and still had 20% left. I felt guilty and charged it. The Geekbench 5 rating beat all those listed laptops and they had 16 or 32GB of memory and the MacBook Pro M1 had only 8GB of unified memory. The keyboard felt great, the sound was superb, the screen bright, and it was blazing fast in all I did. I'm an IT consultant and deal in Windows based databases and this Mac has now become my daily go to system at home. It has become my new front end."
1085,It's a Mac once you go Mac you never go back. This is my second Mac my first lasted almost 9 years.
1086,Dead at arrival.... kernel error. Took it to the Apple store they told me looks like a hardware failure and to send it back to Amazon.
1087,"I'm going to preface this review with the 1 thing I dislike so we can get that out of the way.I mean let's be honest, that's what most people are looking for when buying a product-the down sides.It has a standard 3.5mm headphone jack EVEN THOUGH apple quit using that on it's handheld products years ago.Not that I care, it's good that they include the 3.5mm jack-but how come they didn't include one for their lightning connector that their headphones come in out of the box? Forces you to either change to a standard headphone jack or BT headphones (probably trying to push their AirPods line).Other than that, I have no issues. It's fast, efficient, reliable and easy to use. If your familiar with iOS on these then it'll be a great addition to the tech team you have at home."
1088,"I love my new MacBook Pro!!  It’s the 13” and not too small. It’s very lightweight!  It’s so fast!  I was using an older MacBook Pro from mid 2012. It worked well, just so slow. This one flies!!  I was disappointed that there are no USB ports or CD player. I spent about $65 at Best Buy and got an adapter that works very well!!!"
1089,The battery lasts forever and its fast. My last macbook had a pretty good battery and worked very well for years too.The M1 does allow for dual external monitors and there are two usbc ports total. These two things can be worked around with dongles and a video hub but now I have $200 worth of accessories and a tangled mess on my desk.How is a 2020 Mac not compatible with dual monitors but my 2005 HP works great with the same monitor setup?!? I really can't get past that.Get the intel version with 4 USB ports and you can use it in your Covid home office out of the box.
1090,"There is no fix for this, and now it can't be returned.  All that money wasted!!! There is a vertical black line on the screen.  I tried to fix it using tips from youtube videos and none of it worked.  Proceed with caution!"
1091,"I really wanted to love this laptop. I've had only Macs for years. This was supposed to be an upgrade from my 2014 MacBook Air. I previously had a 2020 16"" intel based MacBook Pro for work configured with two HP monitors. No issues with the monitors and connected instantly with zero effort to get the screens to work with the laptop. Bought this one and connected to my Belkin hub for the HDMIs. Would only connect a single monitor. Googled the issue and found that the new M1 apple chip only supports a single monitor. News to me and I guess I should have researched more. However the low rating stems from the fact that this is a PRO laptop. A professional would want two monitors and should not have to google whether a PRO laptop supports more than 1 monitor when the intel version does seamlessly. Despite this I had planned to keep it and just deal with 1 monitor because of the cost savings over buying the Intel based MacBook Pro and wanted the longer battery life. Now brings me to the issue that made me return the laptop. This laptop just would not configure to show a clear resolution with my monitors. The scale was off and the display just stayed blurry no matter what setting I changed it to on the monitor or the laptop's settings. Tried and tried and just gave up. Returned this and ordered an Intel based 13"" MacBook Pro. No issues, supports dual monitors, and seamlessly integrated to the laptop. No blurry screen and no having to set or change any settings to get it to work. I am floored that Apple would produce a Pro for business that only supports a single monitor. I love Apple but will not buy anything with their chip until the kinks are worked out."
1092,This is by far the best laptop ive ever owned! The laptop came with 0 scratches and only 16 battery charges on it. It even came with the apple box and stickers! Highly reccomend for the price. $850 is great for a 2019 macbook air.
1093,"The media could not be loaded.
                




   Everything I expected and more! Just like brand new!"
1094,I love this laptop so so much. I think everyone should get it. The model is between 2018-2020 and the one I got had the Touch ID on it! Everything was very easy to set up and is in such great quality!
1095,"Received in a timely manner.  Will review in a couple weeks.Well, it's been over 2 weeks since receiving my MacBook Air and I have to admit that it has proven to be worth it's price. The Retina display is phenomenal and it's compact chassis is just what I was looking for. I am not a power user, so I didn't need major memory capacity. The speakers are, surprisingly, crisp and clear for such a slim build. The fingerprint scanner is quick and a huge convenience. I am (or was) a long-time PC user and resisted getting an Apple, but the transition was smooth and Apple's claim to fame for being user-friendly and intuitive proved true. If you are looking for a compact, yet capable laptop with QWERTY keyboard, I would recommend this product."
1096,"After having the laptop a few months, I can say my leap of faith to buy an amazon refurbished was worth it BUT I had to work a little bit.  It didn't arrive perfect and it still isn't perfect.  There is a tiny white dot on the screen where some pixels died (I guess) and when I first got it, I had to call Apple support to get iMessage and Facetime to work on it.  Then I had to take it to the Apple store to get the keyboard fixed as some keys would not work.  Thankfully, I had Apple Care on it so the cost to get it shipped off and fixed wasn't bad.  Overall, I am happy with my purchase and I recommend this seller, but I will probably buy new next time."
